x,y,label
-60,94,1
73,45,0
-95,37,1
-21,57,1
-41,48,1
-49,-13,1
39,53,1
-3,67,1
-4,-49,1
87,73,1
90,-66,1
71,-18,0
-28,98,1
-17,-55,1
-73,89,1
-77,79,1
-71,-68,1
8,53,1
35,61,1
21,69,1
-35,28,1
-26,-8,1
-5,-64,1
93,68,0
-55,72,0
-88,83,1
78,-61,1
54,26,1
-29,82,1
-55,80,1
100,38,0
-48,1,1
46,35,1
7,79,0
-49,-60,1
96,63,0
-30,52,1
59,8,1
4,-43,1
-64,67,1
35,2,1
22,78,0
59,90,0
-14,-23,1
62,70,0
97,-78,0
-36,-57,1
-53,79,1
-54,96,1
24,19,1
-91,97,1
-96,-65,1
78,-90,1
56,-72,1
-97,-79,1
91,32,0
28,-98,1
30,14,1
71,25,1
89,-28,1
-10,-21,1
44,91,0
-59,-18,1
-22,69,1
79,74,0
55,-9,0
44,-63,1
9,91,0
-58,-18,1
-66,97,1
-68,-92,1
-40,-48,1
-2,43,1
60,18,1
-75,45,1
-33,-95,0
-17,-35,1
98,-62,1
84,-97,1
-95,21,1
22,-45,1
-71,91,1
-32,-33,1
-25,6,1
2,23,1
-73,10,1
-14,-48,1
-5,20,1
17,-52,1
75,-1,0
-18,-26,1
-14,75,1
69,42,0
6,58,1
48,-98,1
34,73,0
6,-33,1
56,-57,1
5,79,1
37,45,1
-35,-98,1
-76,96,1
-39,-24,1
69,-88,1
-17,-36,1
-70,21,1
87,-33,1
82,27,0
2,-6,1
80,8,1
88,-95,1
94,-95,0
-89,-40,1
46,-38,0
-95,-55,1
-46,-1,1
43,-36,1
6,66,1
88,-92,1
-57,-97,1
56,-78,0
42,-80,0
-32,-39,1
-48,80,1
86,67,0
13,-30,1
-6,-16,1
60,-32,1
33,35,1
-91,8,1
4,10,1
-12,77,1
43,-82,1
28,-53,1
-54,64,1
-86,74,1
36,12,1
-29,79,1
12,69,1
89,43,0
-7,-62,1
-100,25,1
76,-20,1
99,-37,1
-69,-64,1
-89,-57,1
73,-37,1
83,24,0
0,-30,1
-52,87,1
82,95,0
-63,-58,1
-40,-35,1
39,38,1
78,23,0
-26,23,1
-100,75,1
-55,-39,0
70,55,0
-49,95,1
57,99,0
4,-4,1
-9,20,1
-59,85,1
65,77,0
-10,29,1
97,10,0
-66,8,1
21,41,1
52,81,0
95,-43,1
-68,11,1
5,-34,1
-31,-97,1
97,60,0
45,-20,1
41,51,1
-70,13,1
-65,88,1
-71,-96,1
-52,35,1
-37,-25,1
-65,-31,1
-6,-92,1
-83,-80,1
48,45,1
-83,39,1
-63,-29,1
-43,-56,1
5,73,1
-46,21,1
37,-74,1
-24,74,1
88,-74,1
-27,-69,1
68,65,0
5,-92,1
21,-80,1
64,-63,1
-67,87,1
-71,14,1
-32,-97,1
-60,42,1
80,-95,1
87,87,0
96,-33,1
46,46,1
93,66,0
-36,26,0
75,-89,1
-21,32,1
42,-41,0
79,78,0
-37,-48,1
22,-83,0
-37,76,1
19,63,1
-62,-17,1
-23,-37,1
-13,12,1
-71,96,1
-20,73,1
47,-47,1
-7,63,1
40,9,1
-8,-51,1
-47,40,1
-87,-89,1
-11,28,1
-15,44,1
82,49,0
-83,92,1
54,-41,1
78,-56,1
-89,-10,1
-93,33,1
-41,63,1
-21,-5,1
16,-86,1
-20,73,1
-26,7,1
30,92,0
67,-75,1
45,23,0
-22,-33,1
-32,8,1
82,74,0
-22,47,1
61,72,0
-75,0,1
-5,-97,1
-57,87,1
17,19,1
-33,-78,1
37,24,1
21,77,1
51,-28,1
8,-80,1
-94,-86,1
-78,69,1
1,-25,1
23,-65,1
-46,79,1
-24,69,1
0,-31,1
-17,-99,1
-76,32,1
-54,93,1
-60,-39,1
-48,-92,1
-99,81,1
23,66,1
-81,73,1
-2,-86,1
46,-67,1
-3,-78,1
-31,-11,1
-37,6,1
41,-2,1
-29,37,1
-25,63,1
85,-43,1
-25,49,1
-32,83,1
95,65,0
-65,90,1
-66,95,1
63,4,1
24,-4,1
-93,18,1
16,34,1
19,29,1
46,-87,1
39,-23,1
93,-7,0
21,35,1
-47,51,1
73,17,1
94,-86,1
-31,96,1
-90,-28,1
-24,-86,1
46,10,1
-41,41,1
-96,5,1
-60,99,0
4,-78,1
-8,4,1
90,-29,1
3,42,1
67,-3,1
26,6,1
-72,66,1
-89,95,0
63,57,0
80,-30,1
-90,73,1
-56,-84,1
-60,-50,1
75,94,1
83,62,0
20,22,1
-49,81,1
28,86,0
-46,-24,1
29,-25,1
3,-66,1
-39,-63,1
-4,34,1
-97,-46,1
22,-92,1
-73,-82,1
-55,57,1
77,96,0
-58,81,1
45,94,0
14,98,0
85,14,1
-24,-21,1
8,-92,1
-69,51,1
-32,40,1
89,-99,1
-13,40,1
62,-56,1
-65,-65,1
59,76,0
-88,-10,1
-71,57,1
13,37,1
-22,-11,1
-54,-6,1
20,-56,1
-45,33,1
1,87,1
-44,-68,1
49,62,0
58,-14,1
24,26,1
-58,58,1
73,-84,1
40,-63,1
-49,63,1
-55,-75,1
-24,64,1
44,51,1
-15,93,1
-4,42,1
98,26,0
68,34,0
-98,-23,1
13,-4,1
-77,99,1
-33,11,1
-45,89,1
-79,-19,1
78,-19,1
-22,50,1
-10,32,1
-62,94,1
34,-63,1
38,41,1
64,-45,1
75,8,1
100,98,0
-23,44,0
60,24,1
-80,-85,1
52,79,0
94,1,1
-83,17,1
30,73,0
7,70,1
-61,-65,1
-49,-88,1
-42,25,1
-77,84,1
-27,-9,1
70,31,0
-7,91,0
-5,-43,1
-65,-72,1
35,-4,1
-86,22,1
69,-14,1
-3,-46,1
49,-46,1
25,-88,1
87,-97,1
66,65,0
-68,-46,1
-72,26,1
74,-74,1
-41,-9,1
-65,-74,1
-18,-25,1
-95,-4,1
29,-35,1
51,46,1
-79,-69,1
42,42,1
86,68,0
-95,-17,1
-61,-47,1
-32,94,1
90,98,0
-35,27,1
-1,-14,1
63,57,0
55,74,0
44,78,0
-81,-44,1
14,-80,1
-5,-85,1
-8,-12,1
-35,63,1
-73,-92,1
42,13,1
-48,40,1
-19,89,1
96,-46,1
-6,-79,1
74,-42,1
65,71,0
57,-39,1
-20,-10,1
-74,-47,1
-13,27,1
52,-78,1
4,96,0
15,-18,1
75,-19,1
69,22,1
96,75,0
-44,76,1
22,-69,1
-14,-88,1
-7,35,1
-93,23,1
-58,3,0
50,35,0
21,-1,1
10,73,1
60,31,1
62,15,1
