x,y,label
-67,-65,1
86,97,1
-79,-7,1
61,10,1
23,24,1
-60,43,1
-40,-55,1
-88,77,1
46,49,1
73,-68,1
-34,-60,1
-67,-5,1
-52,-16,1
-66,11,1
-9,45,1
-80,70,1
-47,38,1
52,-44,1
-94,46,1
0,-72,1
76,-49,1
-70,-86,1
-86,-56,1
-11,38,1
-37,31,1
-31,67,1
-27,48,1
24,-28,1
-74,-96,1
-33,-69,1
-67,72,1
94,29,0
72,-70,1
-95,-76,1
75,-12,1
11,-26,1
22,80,0
-76,-13,1
-79,64,1
-87,-3,1
-12,-10,1
56,78,0
-65,10,1
0,-6,1
-49,94,1
18,25,1
-76,25,1
-70,20,1
52,-33,1
-13,83,1
-43,73,1
62,35,1
94,-14,1
-66,52,1
45,13,1
-59,19,1
64,-69,1
71,-91,1
45,21,1
-35,74,1
12,90,0
-73,82,1
-38,5,1
-100,88,1
64,85,0
-84,-40,1
41,64,0
6,-63,1
9,-96,1
-63,-66,1
-21,20,1
-21,10,1
-2,13,1
28,96,0
-87,-21,1
-41,18,1
-23,27,1
-45,86,1
-67,-55,1
52,-14,1
1,-11,1
-34,80,1
58,13,1
-53,74,1
-74,-27,1
-18,42,1
-10,58,1
16,40,1
-77,70,1
-17,-41,1
-74,78,1
83,20,0
27,62,1
-80,-56,1
-58,73,1
36,18,1
-41,97,1
87,83,0
79,-73,1
-9,41,1
40,-94,1
30,-46,1
-75,22,1
24,-30,1
70,40,0
0,-46,1
-55,19,1
-43,32,1
84,-40,1
13,37,1
85,82,0
-42,-84,1
-18,-88,1
93,-42,1
-98,14,1
-100,15,1
-93,-18,1
25,-4,1
3,-32,1
32,77,0
-48,-27,1
26,38,1
60,-38,1
41,13,1
-85,-40,1
2,72,1
-76,-91,1
-50,87,1
-36,-44,1
-95,47,1
46,2,1
-62,-51,1
19,54,1
97,59,0
74,-91,1
64,-29,1
71,-54,1
-24,-11,1
96,-91,1
82,-53,1
46,5,1
-93,-45,1
18,26,1
-47,90,1
25,-66,1
-48,-63,1
38,60,1
8,94,0
-93,74,0
-3,-5,1
64,66,0
52,-68,1
29,-31,1
-76,-39,0
-32,11,1
18,-54,1
-63,40,1
75,-19,1
-54,-76,1
29,86,0
38,52,1
24,-47,1
-86,-22,1
-12,-54,1
95,43,0
66,71,1
87,72,0
15,-67,1
-48,-22,1
-100,-25,1
-12,-87,1
23,-79,1
-30,85,1
-89,25,1
-13,-83,1
87,-78,1
28,-26,1
85,-74,1
9,-49,1
-38,-73,1
-31,79,1
34,-17,1
-63,45,1
8,63,1
-62,36,1
-7,46,1
18,40,1
-9,-69,1
-92,-29,1
21,60,1
-100,-48,1
-73,-26,1
-68,-74,1
-53,-43,1
-50,26,1
43,76,0
-85,-97,1
-50,-59,1
56,6,1
-58,61,1
3,18,1
64,56,0
-16,94,1
-25,-88,1
-45,56,1
11,75,1
-49,-84,1
-86,33,1
23,49,1
96,67,0
-45,-58,1
88,80,0
-28,44,1
-52,-89,1
72,-40,1
-28,43,1
53,93,0
-37,56,1
29,100,1
62,77,0
91,-9,1
85,-79,1
49,-39,1
-44,-45,1
91,82,0
-27,33,1
-71,51,1
12,-74,1
-70,64,1
-60,-77,1
26,-65,1
-42,-68,0
-40,-97,1
-44,-84,1
25,83,0
-5,88,1
7,83,1
-85,-43,1
-83,-68,1
-88,-53,1
99,-92,1
21,-82,1
59,19,1
-1,80,1
-32,-93,1
-54,-63,1
-42,72,1
87,93,0
62,-61,1
57,5,1
-68,65,1
42,-84,1
-76,100,1
-96,15,1
-10,1,1
-80,17,1
-10,34,1
-20,-13,1
14,7,1
100,83,0
-66,62,1
-48,-15,1
-18,77,1
-26,54,1
-38,-1,1
-36,12,1
-90,-93,1
5,69,1
1,65,1
-84,-21,1
-71,5,1
-65,62,1
-31,-88,0
-58,-99,1
44,39,1
-73,88,1
-50,45,1
2,62,1
-72,-72,1
-71,51,1
-46,55,1
-86,6,1
82,80,0
79,90,0
24,-91,1
1,79,1
74,2,1
1,-84,1
-64,19,1
67,-79,1
77,48,0
-49,9,1
74,-94,1
22,87,0
70,-53,1
96,51,0
-43,7,1
-73,39,1
39,59,1
48,43,1
97,-96,1
-5,-11,1
-91,-76,1
-73,50,1
-7,-38,1
50,-22,1
-80,-93,1
83,7,1
81,52,0
76,28,0
14,-89,1
-53,-8,1
54,35,1
-26,-27,1
14,62,1
-64,68,1
9,-53,1
-95,51,0
70,37,0
98,11,0
-93,-54,1
47,-54,1
66,-58,1
48,-8,1
98,88,0
-48,92,1
80,-62,1
75,-82,1
-40,41,1
-61,65,1
-11,11,1
-6,-88,1
-1,36,1
-20,-99,1
-47,-87,1
88,-75,1
42,79,0
-40,-3,1
-16,19,1
73,57,0
-34,-20,1
-14,66,1
45,22,1
-78,-92,1
95,89,0
98,-30,1
60,36,1
-70,-64,1
-2,-1,1
-53,21,1
81,11,1
10,-53,1
48,9,1
-20,-56,1
35,-73,1
-57,-65,1
53,40,1
8,-59,1
-28,-77,1
7,-81,1
-38,-62,1
-2,-99,1
-46,-5,1
96,-100,1
72,0,1
-43,87,1
65,-47,1
78,-48,1
20,36,1
80,77,0
65,-66,1
-27,-16,1
-15,23,1
-70,84,1
8,-78,1
-100,21,1
-42,-23,1
48,14,1
-2,-59,1
-98,21,1
-59,-88,1
84,44,0
-89,24,1
80,-5,1
15,-68,1
-30,-20,1
14,22,1
-39,-4,1
39,52,1
63,75,0
60,-76,1
83,-69,1
81,37,0
-88,-68,1
32,16,1
-7,5,0
100,62,0
-73,-6,1
-49,-39,1
88,3,1
35,39,1
16,47,1
21,-86,1
43,-69,1
59,57,0
57,-86,1
49,25,1
-36,-40,1
54,13,1
15,-79,1
-25,72,1
53,-36,1
13,42,1
-15,-11,1
86,-32,1
71,32,0
-29,84,1
-1,-31,1
-71,-21,1
-63,81,0
10,32,1
-7,93,1
34,30,1
-19,43,1
-28,-20,1
49,-14,1
-47,-72,1
-33,100,1
-94,93,1
-86,42,1
67,18,1
-59,-33,1
15,57,1
47,-68,1
91,-91,1
91,-49,1
82,21,0
84,12,1
-79,33,1
56,-14,1
-51,94,1
-7,14,1
57,-31,1
21,61,1
48,-46,1
-31,53,1
-95,-21,1
-91,-23,1
28,26,1
18,-16,1
-24,99,1
10,-19,1
20,-88,1
-74,84,1
41,-47,1
-74,3,1
88,-4,1
-63,62,1
71,-46,1
48,89,0
10,89,1
-75,-56,1
97,40,0
64,16,1
-20,-2,1
35,98,1
84,-15,1
97,-26,1
-3,-40,1
-29,-11,1
-100,-75,1
52,60,0
55,4,1
11,67,1
41,-22,1
16,28,1
29,-31,1
-17,-87,1
-23,-59,1
71,80,1
-56,-77,1
89,24,0
44,86,0
68,-31,1
-73,-81,1
-64,-10,1
17,53,1
-20,-84,1
-23,8,1
-78,-91,1
-5,54,1
-33,-86,1
-58,-55,1
-45,95,1
-94,-84,1
91,-92,1
-39,-54,1
-12,30,1
35,10,1
78,26,0
-84,-93,1
42,19,1
-74,6,1
90,-33,1
-50,-49,1
5,-94,1
-82,31,1
-5,43,1
26,-34,1
